Angle,Distance,Energy,,,,,,,,,,,
179.0810934,1.593396974,-2362.772144,-1,,-179.0810934,,,,,,,,
179.0810839,1.643397191,-2362.773427,-1,,-179.0810839,,,,,,,,
179.0811151,1.693397339,-2362.773882,-1,,-179.0811151,,,,,,,,
179.081093,1.743396943,-2362.773869,-1,,-179.081093,,,,,,,,
179.081157,1.793396457,-2362.773711,-1,,-179.081157,,,,,,,,
179.0811012,1.84339664,-2362.773581,-1,,-179.0811012,,,,,,,,
179.0811347,1.893397122,-2362.773637,-1,,-179.0811347,,,,,,,,
179.0811327,1.943396331,-2362.77395,-1,,-179.0811327,,,,,,,,
179.0811123,1.993397193,-2362.774512,-1,,-179.0811123,,,,,,,,
179.0811328,2.043397517,-2362.775297,-1,,-179.0811328,,,,,,,,
179.0811715,2.093396906,-2362.776266,-1,,-179.0811715,,,,,,,,
179.0811812,2.143396831,-2362.77738,-1,,-179.0811812,,,,,,,,
179.0811225,2.193396286,-2362.778595,-1,,-179.0811225,,,,,,,,
179.0811871,2.24339702,-2362.779879,-1,,-179.0811871,,,,,,,,
179.0810894,2.293397733,-2362.781192,-1,,-179.0810894,,,,,,,,
179.0810595,2.343397002,-2362.782496,-1,,-179.0810595,,,,,,,,
179.0810047,2.393396305,-2362.783764,-1,,-179.0810047,,,,,,,,
179.0809488,2.443396244,-2362.784968,-1,,-179.0809488,,,,,,,,
179.0810264,2.493397196,-2362.786081,-1,,-179.0810264,,,,,,,,
179.0810935,2.543396561,-2362.787084,-1,,-179.0810935,,,,,,,,
179.0809302,2.593397488,-2362.787975,-1,,-179.0809302,,,,,,,,
179.08101,2.643397142,-2362.788748,-1,,-179.08101,,,,,,,,
179.0809313,2.693396664,-2362.789397,-1,,-179.0809313,,,,,,,,
179.081074,2.743397206,-2362.789922,-1,,-179.081074,,,,,,,,
179.0810013,2.79339711,-2362.790335,-1,,-179.0810013,,,,,,,,
179.0810813,2.84339762,-2362.790645,-1,,-179.0810813,,,,,,,,
179.0809538,2.893396601,-2362.790855,-1,,-179.0809538,,,,,,,,
179.0810174,2.943397473,-2362.790964,-1,,-179.0810174,,,,,,,,
179.0809452,2.993397434,-2362.790978,-1,,-179.0809452,,,,,,,,
179.0810071,3.043396394,-2362.790909,-1,,-179.0810071,,,,,,,,
179.0809727,3.093396656,-2362.790762,-1,,-179.0809727,,,,,,,,
179.0811039,3.143396835,-2362.790542,-1,,-179.0811039,,,,,,,,
179.0810607,3.193397487,-2362.790249,-1,,-179.0810607,,,,,,,,
169.0811593,3.193396999,-2362.788999,-1,,-169.0811593,,,,,,,,
169.0810872,3.143397386,-2362.789409,-1,,-169.0810872,,,,,,,,
169.0809671,3.093396658,-2362.789748,-1,,-169.0809671,,,,,,,,
169.0811872,3.043396919,-2362.790002,-1,,-169.0811872,,,,,,,,
169.0810338,2.993396731,-2362.790164,-1,,-169.0810338,,,,,,,,
169.0810036,2.943396543,-2362.790227,-1,,-169.0810036,,,,,,,,
169.0809855,2.893396202,-2362.79018,-1,,-169.0809855,,,,,,,,
169.0809781,2.843396916,-2362.790015,-1,,-169.0809781,,,,,,,,
169.0809998,2.793396626,-2362.789727,-1,,-169.0809998,,,,,,,,
169.0810071,2.743396755,-2362.789315,-1,,-169.0810071,,,,,,,,
169.0809686,2.693396335,-2362.788772,-1,,-169.0809686,,,,,,,,
169.0809547,2.643396005,-2362.78809,-1,,-169.0809547,,,,,,,,
169.0810119,2.593396449,-2362.787271,-1,,-169.0810119,,,,,,,,
169.0810949,2.543397355,-2362.786322,-1,,-169.0810949,,,,,,,,
169.0810146,2.493396504,-2362.785251,-1,,-169.0810146,,,,,,,,
169.0810453,2.443396952,-2362.784062,-1,,-169.0810453,,,,,,,,
169.0809889,2.39339745,-2362.782773,-1,,-169.0809889,,,,,,,,
169.0811303,2.343397595,-2362.781417,-1,,-169.0811303,,,,,,,,
169.0811383,2.293397726,-2362.780027,-1,,-169.0811383,,,,,,,,
169.0811555,2.243396773,-2362.778657,-1,,-169.0811555,,,,,,,,
169.0811695,2.193397261,-2362.777403,-1,,-169.0811695,,,,,,,,
169.0810525,2.143396924,-2362.776283,-1,,-169.0810525,,,,,,,,
169.0810625,2.093396554,-2362.775334,-1,,-169.0810625,,,,,,,,
169.081054,2.043397719,-2362.7746,-1,,-169.081054,,,,,,,,
169.0810186,1.99339716,-2362.774156,-1,,-169.0810186,,,,,,,,
169.0811138,1.943396537,-2362.774076,-1,,-169.0811138,,,,,,,,
169.081007,1.893397542,-2362.774447,-1,,-169.081007,,,,,,,,
169.0809967,1.843396817,-2362.77527,-1,,-169.0809967,,,,,,,,
169.0809351,1.793397158,-2362.776477,-1,,-169.0809351,,,,,,,,
169.0809796,1.74339633,-2362.777895,-1,,-169.0809796,,,,,,,,
169.0809656,1.693397066,-2362.779254,-1,,-169.0809656,,,,,,,,
169.0809715,1.643396981,-2362.780203,-1,,-169.0809715,,,,,,,,
169.0809559,1.593396681,-2362.780329,-1,,-169.0809559,,,,,,,,
159.0811572,1.593397698,-2362.780391,-1,,-159.0811572,,,,,,,,
159.0811885,1.6433974,-2362.780245,-1,,-159.0811885,,,,,,,,
159.0811102,1.693396778,-2362.779288,-1,,-159.0811102,,,,,,,,
159.0811485,1.74339746,-2362.777932,-1,,-159.0811485,,,,,,,,
159.081134,1.793396618,-2362.776492,-1,,-159.081134,,,,,,,,
159.0811898,1.843396606,-2362.775202,-1,,-159.0811898,,,,,,,,
159.0811962,1.893397031,-2362.774234,-1,,-159.0811962,,,,,,,,
